rank,company,ticker,cik,fiscal_year,current_federal,current_state,current_foreign,total_current,deferred_federal,deferred_state,deferred_foreign,total_deferred,total_tax_expense,pretax_income,effective_tax_rate,cash_taxes_paid
60,Goldman Sachs Group Inc.,GS,0000886982,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
60,Goldman Sachs Group Inc.,GS,0000886982,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
60,Goldman Sachs Group Inc.,GS,0000886982,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
61,HCA Healthcare Inc.,HCA,0000860730,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00%,0.00
61,HCA Healthcare Inc.,HCA,0000860730,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
61,HCA Healthcare Inc.,HCA,0000860730,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
63,Pfizer Inc.,PFE,0000078003,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50%,0.00
63,Pfizer Inc.,PFE,0000078003,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
63,Pfizer Inc.,PFE,0000078003,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
65,Charter Communications Inc.,CHTR,0001091667,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
65,Charter Communications Inc.,CHTR,0001091667,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
65,Charter Communications Inc.,CHTR,0001091667,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
66,AbbVie Inc.,ABBV,0001551152,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,716.00",0.00,40.00%,0.00
66,AbbVie Inc.,ABBV,0001551152,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,250.00",0.00,0.00%,0.00
66,AbbVie Inc.,ABBV,0001551152,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,477.00",0.00,0.00%,0.00
67,General Electric Co.,GE,0000040545,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
67,General Electric Co.,GE,0000040545,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
67,General Electric Co.,GE,0000040545,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
68,RTX Corp.,RTX,0000101829,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,181.00",0.00,0.00%,0.00
68,RTX Corp.,RTX,0000101829,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,456.00,0.00,0.00%,0.00
68,RTX Corp.,RTX,0000101829,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,790.00,0.00,0.00%,0.00
69,American Express Co.,AXP,0000004962,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,766.00",0.00,10.00%,0.00
69,American Express Co.,AXP,0000004962,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,139.00",0.00,0.00%,0.00
69,American Express Co.,AXP,0000004962,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,071.00",0.00,0.00%,0.00
71,Merck & Co. Inc.,MRK,0000310158,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00%,0.00
71,Merck & Co. Inc.,MRK,0000310158,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
73,Fannie Mae,FNMA,0000310522,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00%,0.00
73,Fannie Mae,FNMA,0000310522,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
73,Fannie Mae,FNMA,0000310522,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
75,Philip Morris International Inc.,PM,0001413329,2024,0.00,"2,668.00",0.00,"2,668.00",0.00,-35.00,0.00,-35.00,"2,633.00",0.00,50.00%,0.00
75,Philip Morris International Inc.,PM,0001413329,2023,0.00,"2,468.00",0.00,"2,468.00",0.00,38.00,0.00,38.00,"2,506.00",0.00,0.00%,0.00
75,Philip Morris International Inc.,PM,0001413329,2022,0.00,"2,553.00",0.00,"2,553.00",0.00,-95.00,0.00,-95.00,"2,458.00",0.00,0.00%,0.00
79,Coca-Cola Co.,KO,0000021344,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00%,0.00
79,Coca-Cola Co.,KO,0000021344,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
80,Eli Lilly and Co.,LLY,0000059478,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00%,0.00
80,Eli Lilly and Co.,LLY,0000059478,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
80,Eli Lilly and Co.,LLY,0000059478,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
82,Progressive Corp.,PGR,0000080661,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
82,Progressive Corp.,PGR,0000080661,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
83,Allstate Corp.,ALL,0000899051,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00%,0.00
83,Allstate Corp.,ALL,0000899051,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
83,Allstate Corp.,ALL,0000899051,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
85,Walt Disney Co.,DIS,0001744489,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,796.00",0.00,0.00%,0.00
85,Walt Disney Co.,DIS,0001744489,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,379.00",0.00,0.00%,0.00
85,Walt Disney Co.,DIS,0001744489,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
86,Nike Inc.,NKE,0000320187,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,666.00,0.00,0.00%,0.00
86,Nike Inc.,NKE,0000320187,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,000.00",0.00,0.00%,0.00
